date,section,q_star_width_norm_mean,q_star_width_norm_p95,level_upstream_m_mean,sample_count
2022-12-27,section_7,1.1526222697199322e-06,1.1696674235653486e-06,3.1476632638888886,1440
2022-12-27,section_8,6.9756108501404405e-06,7.168445122936138e-06,3.1476632638888886,1440
2022-12-28,section_1,8.10996911030217e-06,8.176551288206545e-06,3.1481102777777776,1440
2022-12-28,section_2,1.512882459508133e-06,1.5334319520343009e-06,3.1481102777777776,1440
2022-12-28,section_3,4.381065847508087e-07,4.461649280973128e-07,3.1481102777777776,1440
2022-12-28,section_4,2.756702155846216e-08,2.8893756641559293e-08,3.1481102777777776,1440
2022-12-28,section_5,1.492103644416696e-08,1.5904412960083652e-08,3.1481102777777776,1440
2022-12-28,section_6,9.233385321433672e-07,9.314004225566308e-07,3.1481102777777776,1440
2022-12-28,section_7,1.1515115876410323e-06,1.165261900929407e-06,3.1481102777777776,1440
2022-12-28,section_8,7.1034402896527765e-06,7.277552120701084e-06,3.1481102777777776,1440
2022-12-29,section_1,8.569865697842485e-06,8.653089360250051e-06,3.1479551388888884,1440
2022-12-29,section_2,1.5314817982046856e-06,1.5578202365932723e-06,3.1479551388888884,1440
2022-12-29,section_3,4.361906913667005e-07,4.398161759254098e-07,3.1479551388888884,1440
2022-12-29,section_4,2.8621671180000984e-08,2.9603884164714147e-08,3.1479551388888884,1440
2022-12-29,section_5,1.5208230395951123e-08,1.6447530149490464e-08,3.1479551388888884,1440
2022-12-29,section_6,9.307972819156932e-07,9.40064560295372e-07,3.1479551388888884,1440
2022-12-29,section_7,1.1505928408422418e-06,1.165261900929407e-06,3.1479551388888884,1440
2022-12-29,section_8,7.095120954988866e-06,7.261904841055479e-06,3.1479551388888884,1440
2022-12-30,section_1,8.548013482957333e-06,8.623270641175104e-06,3.147414652777777,1440
2022-12-30,section_2,1.526506109159806e-06,1.550069504592007e-06,3.147414652777777,1440
2022-12-30,section_3,4.431912940986573e-07,4.485611293970524e-07,3.147414652777777,1440
2022-12-30,section_4,2.8090832971496183e-08,2.8811555973835266e-08,3.147414652777777,1440
2022-12-30,section_5,1.50312983420289e-08,1.554442914075185e-08,3.147414652777777,1440
2022-12-30,section_6,9.119096491765636e-07,9.227843742927672e-07,3.147414652777777,1440
2022-12-30,section_7,1.1401649202518425e-06,1.1564807611305308e-06,3.147414652777777,1440
2022-12-30,section_8,7.022542469677035e-06,7.199517666131457e-06,3.147414652777777,1440
2022-12-31,section_1,8.635396500702808e-06,8.741399087631833e-06,3.147383263888889,1440
2022-12-31,section_2,1.5508044917563345e-06,1.5857057950751266e-06,3.147383263888889,1440
2022-12-31,section_3,4.428277878625083e-07,4.505881236533138e-07,3.147383263888889,1440
2022-12-31,section_4,2.799286369228641e-08,2.8785383986704964e-08,3.147383263888889,1440
2022-12-31,section_5,1.5142708557574256e-08,1.565686862458119e-08,3.147383263888889,1440
2022-12-31,section_6,8.91164375261156e-07,9.099502742669452e-07,3.147383263888889,1440
2022-12-31,section_7,1.104273758681921e-06,1.1390378922781513e-06,3.147383263888889,1440
2022-12-31,section_8,6.949480393303348e-06,7.137453182930508e-06,3.147383263888889,1440
2023-01-01,section_1,8.390311649144516e-06,8.578975497999083e-06,3.1476169444444446,1440
2023-01-01,section_2,1.5228914183446277e-06,1.561491579513081e-06,3.1476169444444446,1440
2023-01-01,section_3,4.5049777397749e-07,4.563828505531832e-07,3.1476169444444446,1440
2023-01-01,section_4,2.6064214518427213e-08,2.7325543880330172e-08,3.1476169444444446,1440
2023-01-01,section_5,1.3436765981094709e-08,1.4907398147921328e-08,3.1476169444444446,1440
2023-01-01,section_6,8.932393006370319e-07,9.099502742669452e-07,3.1476169444444446,1440
2023-01-01,section_7,1.1025007435969114e-06,1.1217538347281004e-06,3.1476169444444446,1440
2023-01-01,section_8,6.940797659963573e-06,7.121987417308512e-06,3.1476169444444446,1440
2023-01-02,section_1,8.264935277250208e-06,8.353776854423007e-06,3.147944513888889,1440
2023-01-02,section_2,1.500735440345456e-06,1.5293879415128595e-06,3.147944513888889,1440
2023-01-02,section_3,4.515548788975558e-07,4.574608264903798e-07,3.147944513888889,1440
2023-01-02,section_4,2.512202995135776e-08,2.680640788234568e-08,3.147944513888889,1440
2023-01-02,section_5,1.3050229185037542e-08,1.4134681990226062e-08,3.147944513888889,1440
2023-01-02,section_6,8.931693701281142e-07,9.014540586260356e-07,3.147944513888889,1440
2023-01-02,section_7,1.108542424436379e-06,1.1260599870498715e-06,3.147944513888889,1440
2023-01-02,section_8,6.9388850940693e-06,7.121987417308512e-06,3.147944513888889,1440
2023-01-03,section_1,8.18076211817684e-06,8.35106884305198e-06,3.1479611805555554,1440
2023-01-03,section_2,1.4766950584428602e-06,1.5210476850029964e-06,3.1479611805555554,1440
2023-01-03,section_3,4.507424482712281e-07,4.564649925053318e-07,3.1479611805555554,1440
2023-01-03,section_4,2.5242264911567693e-08,2.6994089634426184e-08,3.1479611805555554,1440
2023-01-03,section_5,1.2284270227829049e-08,1.3809654687211773e-08,3.1479611805555554,1440
2023-01-03,section_6,8.900728843107874e-07,9.014540586260356e-07,3.1479611805555554,1440
2023-01-03,section_7,1.1093084492021255e-06,1.1303760423632437e-06,3.1479611805555554,1440
